event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp,population_best
SOM50314,"06 June 2025",2025,1,"Political violence",Battles,"Armed clash","Marehan Clan Militia (Somalia)",,4,44,,706,"Eastern Africa",Somalia,Galgaduud,Cabudwaaq,,Xeraale,6.0386,46.4286,2,"Local Network",Other,"On 6 June 2025, for the third day, Marehan and Dir clan militia clashed in Jabsile village near Xeraale town (Cabudwaaq, Galgaduud). The clash was due to land disputes and clan revenge. Both militias received reinforcement from Abduwak and the Herale towns, respectively.",0,,1749511122,1745
SOM50314,"06 June 2025",2025,1,"Political violence",Battles,"Armed clash","Dir Clan Militia (Somalia)",,4,44,,706,"Eastern Africa",Somalia,Galgaduud,Cabudwaaq,,Xeraale,6.0386,46.4286,2,"Local Network",Other,"On 6 June 2025, for the third day, Marehan and Dir clan militia clashed in Jabsile village near Xeraale town (Cabudwaaq, Galgaduud). The clash was due to land disputes and clan revenge. Both militias received reinforcement from Abduwak and the Herale towns, respectively.",0,,1749511122,1745
SOM50318,"06 June 2025",2025,1,"Political violence",Battles,"Armed clash","Military Forces of Somalia (2022-) National Intelligence and Security Agency","Military Forces of Somalia (2022-); Unidentified Military Forces",1,12,,706,"Eastern Africa",Somalia,Hiraan,"Bulo Burto",,Moqokori,4.0625,46.1342,2,"Somali News Agency",National,"On 6 June 2025, government security forces (NISA and SNA) clashed with Al Shabaab at a base in Ceel Hareri village near Moqokori village (Bulo Burto, Hiraan). The operation was supported by airstrikes from unidentified forces (described as international forces, coded as unidentified military forces). More than 40 militants were killed, including senior militants.",40,,1749511122,2291
SOM50318,"06 June 2025",2025,1,"Political violence",Battles,"Armed clash","Al Shabaab",,2,12,,706,"Eastern Africa",Somalia,Hiraan,"Bulo Burto",,Moqokori,4.0625,46.1342,2,"Somali News Agency",National,"On 6 June 2025, government security forces (NISA and SNA) clashed with Al Shabaab at a base in Ceel Hareri village near Moqokori village (Bulo Burto, Hiraan). The operation was supported by airstrikes from unidentified forces (described as international forces, coded as unidentified military forces). More than 40 militants were killed, including senior militants.",40,,1749511122,2291
SOM50323,"06 June 2025",2025,1,"Political violence",Battles,"Armed clash","Military Forces of Somalia (2022-) Puntland Dervish Force",,1,12,,706,"Eastern Africa",Somalia,Bari,Bossaso,,Balade,11.2761,49.164,1,"Local Network",Other,"On 6 June 2025, Puntland Dervish Force clashed with Islamic State Somalia Province in Balade village (Bossaso, Bari). There were no casualties.",0,,1749511122,15912
SOM50323,"06 June 2025",2025,1,"Political violence",Battles,"Armed clash","Islamic State Somalia Province",,2,12,,706,"Eastern Africa",Somalia,Bari,Bossaso,,Balade,11.2761,49.164,1,"Local Network",Other,"On 6 June 2025, Puntland Dervish Force clashed with Islamic State Somalia Province in Balade village (Bossaso, Bari). There were no casualties.",0,,1749511122,15912
SOM50336,"06 June 2025",2025,1,"Political violence","Violence against civilians",Attack,"Al Shabaab",,2,27,"Civilian targeting",706,"Eastern Africa",Somalia,Bay,"Qansax Dheere",,Uffurow,2.7622,42.8868,2,"Local Network",Other,"On 6 June 2025, Al Shabaab attacked and injured 3 civilians transporting commercial goods on a donkey cart near Uffurow village (Qansax Dheere, Lower Shabelle). The motive was due to people lacking the al-Shabaab operating license. Extent of injuries not reported.",0,,1749511122,14778
SOM50336,"06 June 2025",2025,1,"Political violence","Violence against civilians",Attack,"Civilians (Somalia)","Labor Group (Somalia)",7,27,"Civilian targeting",706,"Eastern Africa",Somalia,Bay,"Qansax Dheere",,Uffurow,2.7622,42.8868,2,"Local Network",Other,"On 6 June 2025, Al Shabaab attacked and injured 3 civilians transporting commercial goods on a donkey cart near Uffurow village (Qansax Dheere, Lower Shabelle). The motive was due to people lacking the al-Shabaab operating license. Extent of injuries not reported.",0,,1749511122,14778
SOM50346,"06 June 2025",2025,1,"Political violence","Violence against civilians",Attack,"Unidentified Clan Militia (Somalia)",,4,47,"Civilian targeting",706,"Eastern Africa",Somalia,Mudug,Hobyo,,Galgalad,6.6155,47.9743,2,"Local Network",Other,"On 6 June 2025, unidentified clan militias attacked civilians between Deeqle and Galgalad villages (Hobyo, Mudug). The motive was due to clan revenge. At least 9 civilians were killed.",9,,1749511122,345
SOM50346,"06 June 2025",2025,1,"Political violence","Violence against civilians",Attack,"Civilians (Somalia)","Unidentified Clan Group (Somalia)",7,47,"Civilian targeting",706,"Eastern Africa",Somalia,Mudug,Hobyo,,Galgalad,6.6155,47.9743,2,"Local Network",Other,"On 6 June 2025, unidentified clan militias attacked civilians between Deeqle and Galgalad villages (Hobyo, Mudug). The motive was due to clan revenge. At least 9 civilians were killed.",9,,1749511122,345
SOM50299,"05 June 2025",2025,1,"Political violence",Battles,"Armed clash","Dhulbahante Clan Militia (Somalia)",,4,44,,706,"Eastern Africa",Somalia,Togdheer,Buuhoodle,,Buuhoodle,8.2516,46.3157,1,"Undisclosed Source","Local partner-Other","On 5 June 2025, 2 groups of Dhulbahante clan militia clashed in Buuhoodle town (Buuhoodle, Togdheer) due to a trade-related dispute. 1 person was killed and 2 others were injured.",1,,1749511122,3050
SOM50299,"05 June 2025",2025,1,"Political violence",Battles,"Armed clash","Dhulbahante Clan Militia (Somalia)",,4,44,,706,"Eastern Africa",Somalia,Togdheer,Buuhoodle,,Buuhoodle,8.2516,46.3157,1,"Undisclosed Source","Local partner-Other","On 5 June 2025, 2 groups of Dhulbahante clan militia clashed in Buuhoodle town (Buuhoodle, Togdheer) due to a trade-related dispute. 1 person was killed and 2 others were injured.",1,,1749511122,3050
SOM50302,"05 June 2025",2025,1,"Political violence",Battles,"Armed clash","Hawadle Clan Militia (Somalia)",,4,24,,706,"Eastern Africa",Somalia,Hiraan,"Bulo Burto",,Aborey,4.0104,45.6813,1,"Local Network",Other,"On 5 June 2025, Hawadle clan militia ambushed Al-Shabaab in the vicinity of Aborey village (Bulo Burto, Hiraan). There were no casualties.",0,,1749511122,3362
SOM50302,"05 June 2025",2025,1,"Political violence",Battles,"Armed clash","Al Shabaab",,2,24,,706,"Eastern Africa",Somalia,Hiraan,"Bulo Burto",,Aborey,4.0104,45.6813,1,"Local Network",Other,"On 5 June 2025, Hawadle clan militia ambushed Al-Shabaab in the vicinity of Aborey village (Bulo Burto, Hiraan). There were no casualties.",0,,1749511122,3362
SOM50306,"05 June 2025",2025,1,"Political violence",Battles,"Armed clash","Hawadle Clan Militia (Somalia)",,4,24,,706,"Eastern Africa",Somalia,Hiraan,"Bulo Burto",,Moqokori,4.0625,46.1342,2,"Caasimada; Hiiraan (Somalia); Radio Risala",National,"On 5 June 2025, for the second day, Hawadle clan militia clashed with Al Shabaab at a base in Ceel Hareri village near Moqokori village (Bulo Burto, Hiraan). Casualties unknown.",0,,1749511122,2291
SOM50306,"05 June 2025",2025,1,"Political violence",Battles,"Armed clash","Al Shabaab",,2,24,,706,"Eastern Africa",Somalia,Hiraan,"Bulo Burto",,Moqokori,4.0625,46.1342,2,"Caasimada; Hiiraan (Somalia); Radio Risala",National,"On 5 June 2025, for the second day, Hawadle clan militia clashed with Al Shabaab at a base in Ceel Hareri village near Moqokori village (Bulo Burto, Hiraan). Casualties unknown.",0,,1749511122,2291
SOM50307,"05 June 2025",2025,1,"Political violence",Battles,"Armed clash","Hawadle Clan Militia (Somalia)",,4,24,,706,"Eastern Africa",Somalia,Hiraan,"Bulo Burto",,Yasooman,4.0558,45.7487,1,"Hiiraan (Somalia); Radio Kulmiye",National,"On 5 June 2025, Hawadle clan militia clashed with Al Shabaab in Yasooman village (Bulo Burto, Hiraan). Casualties unknown.",0,,1749511122,827
SOM50307,"05 June 2025",2025,1,"Political violence",Battles,"Armed clash","Al Shabaab",,2,24,,706,"Eastern Africa",Somalia,Hiraan,"Bulo Burto",,Yasooman,4.0558,45.7487,1,"Hiiraan (Somalia); Radio Kulmiye",National,"On 5 June 2025, Hawadle clan militia clashed with Al Shabaab in Yasooman village (Bulo Burto, Hiraan). Casualties unknown.",0,,1749511122,827
SOM50313,"05 June 2025",2025,1,"Political violence",Battles,"Armed clash","Marehan Clan Militia (Somalia)",,4,44,,706,"Eastern Africa",Somalia,Galgaduud,Cabudwaaq,,Xeraale,6.0386,46.4286,2,"Local Network",Other,"On 5 June 2025, for the second day, Marehan and Dir clan militia clashed in Jabsile village near Xeraale town (Cabudwaaq, Galgaduud). The clash was due to land disputes and clan revenge. 2 people were captured, 1 was injured and taken to Xeraale.",0,,1749511122,1745
SOM50313,"05 June 2025",2025,1,"Political violence",Battles,"Armed clash","Dir Clan Militia (Somalia)",,4,44,,706,"Eastern Africa",Somalia,Galgaduud,Cabudwaaq,,Xeraale,6.0386,46.4286,2,"Local Network",Other,"On 5 June 2025, for the second day, Marehan and Dir clan militia clashed in Jabsile village near Xeraale town (Cabudwaaq, Galgaduud). The clash was due to land disputes and clan revenge. 2 people were captured, 1 was injured and taken to Xeraale.",0,,1749511122,1745
SOM50321,"05 June 2025",2025,1,"Political violence",Battles,"Armed clash","Military Forces of Somalia (2022-) National Intelligence and Security Agency",,1,11,,706,"Eastern Africa",Somalia,Hiraan,"Belet Weyne",,Matabaan,5.1994,45.5252,1,"Local Network",Other,"On 5 June 2025, government security forces (NISA) launched an attack against Hirshabele police forces in Dhisaqa area of Matabaan village (Belet Weyne, Hiraan). The motive was to clear an illegal checkpoint (coded separately). NISA forces retreated after unidentified clan militias supported the police forces. Matabaan district has been experiencing administrative and clan disputes. Casualties unknown.",0,,1749511122,8769
SOM50321,"05 June 2025",2025,1,"Political violence",Battles,"Armed clash","Police Forces of Somalia (2022-) Hirshabelle Police Forces","Unidentified Clan Militia (Somalia)",1,11,,706,"Eastern Africa",Somalia,Hiraan,"Belet Weyne",,Matabaan,5.1994,45.5252,1,"Local Network",Other,"On 5 June 2025, government security forces (NISA) launched an attack against Hirshabele police forces in Dhisaqa area of Matabaan village (Belet Weyne, Hiraan). The motive was to clear an illegal checkpoint (coded separately). NISA forces retreated after unidentified clan militias supported the police forces. Matabaan district has been experiencing administrative and clan disputes. Casualties unknown.",0,,1749511122,8769
SOM50326,"05 June 2025",2025,1,"Political violence",Battles,"Armed clash","Military Forces of Somalia (2022-) Puntland Dervish Force",,1,12,,706,"Eastern Africa",Somalia,Bari,Bossaso,,Balade,11.2761,49.164,1,"Local Network",Other,"On 5 June 2025, Puntland Dervish Force clashed with Islamic State Somalia Province in Balade village (Bossaso, Bari). Casualties unknown.",0,,1749511122,15912
SOM50326,"05 June 2025",2025,1,"Political violence",Battles,"Armed clash","Islamic State Somalia Province",,2,12,,706,"Eastern Africa",Somalia,Bari,Bossaso,,Balade,11.2761,49.164,1,"Local Network",Other,"On 5 June 2025, Puntland Dervish Force clashed with Islamic State Somalia Province in Balade village (Bossaso, Bari). Casualties unknown.",0,,1749511122,15912
SOM50327,"05 June 2025",2025,1,"Political violence",Battles,"Armed clash","Military Forces of Somalia (2022-) Puntland Dervish Force",,1,12,,706,"Eastern Africa",Somalia,Bari,Bossaso,,Balade,11.2761,49.164,2,"Local Network",Other,"On 5 June 2025, Puntland Dervish Force clashed with Islamic State Somalia Province in Sadow village near Balade village (Bossaso, Bari). The clashe was initiated with RPGs. The forces recoved several weapons and IED explosive materials. Casualties unknown.",0,,1749511122,15912
SOM50327,"05 June 2025",2025,1,"Political violence",Battles,"Armed clash","Islamic State Somalia Province",,2,12,,706,"Eastern Africa",Somalia,Bari,Bossaso,,Balade,11.2761,49.164,2,"Local Network",Other,"On 5 June 2025, Puntland Dervish Force clashed with Islamic State Somalia Province in Sadow village near Balade village (Bossaso, Bari). The clashe was initiated with RPGs. The forces recoved several weapons and IED explosive materials. Casualties unknown.",0,,1749511122,15912
SOM50328,"05 June 2025",2025,1,"Political violence",Battles,"Armed clash","Military Forces of Somalia (2022-) Puntland Dervish Force",,1,12,,706,"Eastern Africa",Somalia,Bari,Qandala,,"Buuraha Cali Miskat",10.8548,49.7434,1,"Local Network",Other,"On 5 June 2025, Puntland Dervish Force clashed with Islamic State Somalia Province in Ill, Buurta Buurgaal, Ceelka Dacar, and Dhariinya Garooba areas in Buuraha Cali Miskat (Qandala, Bari). The clash was initiated with RPGs. The forces recoved several weapons and IED explosive materials. Casualties unknown.",0,,1749511122,2407
SOM50328,"05 June 2025",2025,1,"Political violence",Battles,"Armed clash","Islamic State Somalia Province",,2,12,,706,"Eastern Africa",Somalia,Bari,Qandala,,"Buuraha Cali Miskat",10.8548,49.7434,1,"Local Network",Other,"On 5 June 2025, Puntland Dervish Force clashed with Islamic State Somalia Province in Ill, Buurta Buurgaal, Ceelka Dacar, and Dhariinya Garooba areas in Buuraha Cali Miskat (Qandala, Bari). The clash was initiated with RPGs. The forces recoved several weapons and IED explosive materials. Casualties unknown.",0,,1749511122,2407
SOM50332,"05 June 2025",2025,1,"Political violence",Battles,"Armed clash","SSC: Sool, Sanaag and Cayn Militia",,3,13,,706,"Eastern Africa",Somalia,Sanaag,Ceerigaabo,,Jidali,10.7009,47.6684,2,"Local Network",Other,"On 5 June 2025, Sool, Sanaag and Cayn Militia exchanged heavy gunfire with Somaliland forces at a checkpoint near Jidali village (Ceerigaabo, Sanaag). There were no casualties.",0,,1749511122,2626
SOM50332,"05 June 2025",2025,1,"Political violence",Battles,"Armed clash","Military Forces of Somaliland (2024-)",,1,13,,706,"Eastern Africa",Somalia,Sanaag,Ceerigaabo,,Jidali,10.7009,47.6684,2,"Local Network",Other,"On 5 June 2025, Sool, Sanaag and Cayn Militia exchanged heavy gunfire with Somaliland forces at a checkpoint near Jidali village (Ceerigaabo, Sanaag). There were no casualties.",0,,1749511122,2626
SOM50338,"05 June 2025",2025,1,"Political violence","Violence against civilians",Attack,"Al Shabaab",,2,27,"Civilian targeting",706,"Eastern Africa",Somalia,"Middle Juba",Jilib,,"Kunyo Barrow",0.8014,43.3837,2,"Local Network",Other,"On 5 June 2025, the Al Shabaab amniyaat team beat and detained a vehicle driver for failing to pay tax money at the Ali Farxaan main customs checkpoint, near Kunyo Barrow village (Jilib, Middle Shabelle). The operative accused the driver of taking an alternative route. Extent of injuries not reported.",0,,1749511122,6566
SOM50338,"05 June 2025",2025,1,"Political violence","Violence against civilians",Attack,"Civilians (Somalia)",,7,27,"Civilian targeting",706,"Eastern Africa",Somalia,"Middle Juba",Jilib,,"Kunyo Barrow",0.8014,43.3837,2,"Local Network",Other,"On 5 June 2025, the Al Shabaab amniyaat team beat and detained a vehicle driver for failing to pay tax money at the Ali Farxaan main customs checkpoint, near Kunyo Barrow village (Jilib, Middle Shabelle). The operative accused the driver of taking an alternative route. Extent of injuries not reported.",0,,1749511122,6566
SOM50340,"05 June 2025",2025,1,"Political violence","Violence against civilians",Attack,"Islamic State Somalia Province",,2,27,"Civilian targeting",706,"Eastern Africa",Somalia,Bari,Qandala,,Sixna,11.061,50.2123,2,"Local Network",Other,"On 5 June 2025, overnight, Islamic State Somalia Province ambushed a passenger vehicle passing between the Sixna and Daanyo, near Sixna village (Qandala, Bari). 2 Puntland soldiers (off-duty) on board the vehicle were killed.",2,,1749511122,474
SOM50340,"05 June 2025",2025,1,"Political violence","Violence against civilians",Attack,"Civilians (Somalia)","Military Forces of Somalia (2022-) Puntland Dervish Force",7,27,"Civilian targeting",706,"Eastern Africa",Somalia,Bari,Qandala,,Sixna,11.061,50.2123,2,"Local Network",Other,"On 5 June 2025, overnight, Islamic State Somalia Province ambushed a passenger vehicle passing between the Sixna and Daanyo, near Sixna village (Qandala, Bari). 2 Puntland soldiers (off-duty) on board the vehicle were killed.",2,,1749511122,474
SOM50361,"05 June 2025",2025,1,"Strategic developments","Strategic developments","Change to group/activity","Al Shabaab",,2,20,,706,"Eastern Africa",Somalia,Banadir,Banadir,,"Mogadishu - Daynile",2.0576,45.2853,1,"Local Network",Other,"Movement of forces: On 5 June 2025, around 10 Al Shabaab, armed with heavy weapons, were seen in the outskirts of Mogadishu - Daynile (Banadir). They were coming from the nearby Afgooye and Beera Cali Mahdi area.",0,,1749511122,
SOM50362,"05 June 2025",2025,1,"Strategic developments","Strategic developments","Change to group/activity","Al Shabaab",,2,20,,706,"Eastern Africa",Somalia,Banadir,Banadir,,"Mogadishu - Garasbaaley",2.0611,45.2589,1,"Local Network",Other,"Movement of forces: On 5 June 2025, around 10 Al Shabaab, armed with heavy weapons, were seen in the outskirts of Mogadishu - Garasbaaley (Banadir). They were coming from the nearby Afgooye and Beera Cali Mahdi area.",0,,1749511122,
SOM50363,"05 June 2025",2025,1,"Strategic developments","Strategic developments","Change to group/activity","Al Shabaab",,2,20,,706,"Eastern Africa",Somalia,Hiraan,"Bulo Burto",,Moqokori,4.0625,46.1342,1,"Local Network",Other,"Movement of forces: On 5 June 2025, Al Shabaab was seen moving on the outskirts of Moqokori village (Bulo Burto, Hiraan).",0,,1749511122,
SOM50364,"05 June 2025",2025,1,"Strategic developments","Strategic developments","Change to group/activity","Al Shabaab",,2,20,,706,"Eastern Africa",Somalia,"Middle Shabelle",Balcad,,"Raga Ceel",2.6557,46.0091,1,"Local Network",Other,"Movement of forces: On 5 June 2025, several Al Shabaab, armed with heavy weapons and armored vehicles, were seen patrolling in the vicinity of Raga Ceel village (Balcad, Middle Shabelle). They were moving towards the Hiraan region.",0,,1749511122,
SOM50365,"05 June 2025",2025,1,"Strategic developments","Strategic developments","Change to group/activity","Al Shabaab",,2,20,,706,"Eastern Africa",Somalia,"Middle Shabelle",Balcad,,Xawaadleey,2.5826,45.4894,2,"Local Network",Other,"Movement of forces: On 5 June 2025, several Al Shabaab, armed with heavy weapons and with armored vehicles, were seen moving between Garsale and Xawaadleey village (Balcad, Middle Shabelle). They were moving towards the Hiraan region.",0,,1749511123,
SOM50386,"05 June 2025",2025,1,"Strategic developments","Strategic developments","Looting/property destruction","Military Forces of Somalia (2022-) Quick Response Force",,1,12,,706,"Eastern Africa",Somalia,Bari,Qandala,,"Buuraha Cali Miskat",10.8548,49.7434,1,"Local Network",Other,"Property destruction: On 5 June 2025, Puntland Quick Response Force (QRF), trained and supported by UAE, destroyed several Islamic State Somalia Province hideouts during a special operation between Ceelka Dacar and Garooba area in Buuraha Cali Miskat (Qandala, Bari).",0,,1749511123,
SOM50386,"05 June 2025",2025,1,"Strategic developments","Strategic developments","Looting/property destruction","Islamic State Somalia Province",,2,12,,706,"Eastern Africa",Somalia,Bari,Qandala,,"Buuraha Cali Miskat",10.8548,49.7434,1,"Local Network",Other,"Property destruction: On 5 June 2025, Puntland Quick Response Force (QRF), trained and supported by UAE, destroyed several Islamic State Somalia Province hideouts during a special operation between Ceelka Dacar and Garooba area in Buuraha Cali Miskat (Qandala, Bari).",0,,1749511123,
SOM50399,"05 June 2025",2025,1,"Strategic developments","Strategic developments",Other,"Al Shabaab",,2,20,,706,"Eastern Africa",Somalia,Bay,Baydhaba,,Aawdiinle,3.1706,43.4099,2,"Local Network",Other,"Non-violent activity: On 5 June 2025, Al Shabaab, armed with heavy weapons, patrolled along the main supply route that connects Baidoa to Bardaale town, near Aawdiinle village (Baydhaba, Bay). The group was tasked with celebrating Eid in the areas they controlled and monitoring the security situation.",0,,1749511123,
SOM50417,"05 June 2025",2025,1,"Political violence","Explosions/Remote violence","Remote explosive/landmine/IED","Islamic State Somalia Province",,2,12,,706,"Eastern Africa",Somalia,Bari,Qandala,,"Buuraha Cali Miskat",10.8548,49.7434,1,"Local Network",Other,"On 5 June 2025, an IED planted by Islamic State Somalia Province exploded, targeting a Puntland Dervish Force convoy in Buuraha Cali Miskat (Qandala, Bari). The IED missed the target. There were no casualties.",0,,1749511123,2407
SOM50417,"05 June 2025",2025,1,"Political violence","Explosions/Remote violence","Remote explosive/landmine/IED","Military Forces of Somalia (2022-) Puntland Dervish Force",,1,12,,706,"Eastern Africa",Somalia,Bari,Qandala,,"Buuraha Cali Miskat",10.8548,49.7434,1,"Local Network",Other,"On 5 June 2025, an IED planted by Islamic State Somalia Province exploded, targeting a Puntland Dervish Force convoy in Buuraha Cali Miskat (Qandala, Bari). The IED missed the target. There were no casualties.",0,,1749511123,2407
SOM50418,"05 June 2025",2025,1,"Political violence","Explosions/Remote violence","Shelling/artillery/missile attack","Al Shabaab",,2,20,,706,"Eastern Africa",Somalia,Banadir,Banadir,,"Mogadishu - Wadajir",2.0462,45.3341,1,"Calamada; Radio Kulmiye",National,"On 5 June 2025, Al Shabaab fired three mortar shells towards the Xalane compound inside the Aden Ade International Airport in Mogadishu - Wadajir (Banadir). 1 mortar shell landed inside a residential area. Casualties unknown. Al Shabaab claimed responsibility.",0,,1749511123,24943
SOM50419,"05 June 2025",2025,1,"Political violence","Explosions/Remote violence","Shelling/artillery/missile attack","Al Shabaab",,2,20,,706,"Eastern Africa",Somalia,Banadir,Banadir,,"Mogadishu - Waaberi",2.0195,45.31,1,Calamada,National,"On 5 June 2025, Al Shabaab fired 3 mortar shells, landing in various locations, including the Xalane compound inside the Aden Ade International Airport in Mogadishu - Waaberi (Banadir). There were no casualties. Al Shabaab claimed responsibility.",0,,1749511123,202874
SOM50266,"04 June 2025",2025,1,"Strategic developments","Strategic developments",Agreement,"Al Shabaab",,2,24,,706,"Eastern Africa",Somalia,"Lower Juba",Jamaame,,Saagga,0.2238,42.7699,1,"Local Network",Other,"On 4 June 2025, Al Shabaab and the Lower Juba administration meet with the Gaaljece clan militia, reaching an agreement in Saagga village (Jamaame, Lower Juba). The clan reached a Bayca agreement with the fighters.",0,,1749511122,
SOM50266,"04 June 2025",2025,1,"Strategic developments","Strategic developments",Agreement,"Gaaljecel Clan Militia (Somalia)",,4,24,,706,"Eastern Africa",Somalia,"Lower Juba",Jamaame,,Saagga,0.2238,42.7699,1,"Local Network",Other,"On 4 June 2025, Al Shabaab and the Lower Juba administration meet with the Gaaljece clan militia, reaching an agreement in Saagga village (Jamaame, Lower Juba). The clan reached a Bayca agreement with the fighters.",0,,1749511122,
SOM50267,"04 June 2025",2025,1,"Strategic developments","Strategic developments",Agreement,"Al Shabaab",,2,24,,706,"Eastern Africa",Somalia,"Lower Juba",Jamaame,,Mashaaga,0.1952,42.752,1,"Local Network",Other,"On 4 June 2025, Al Shabaab and Jareer-Weyne sub-clan militia reached an agreement in Mashaaga village (Jamaame, Lower Juba). The clan agreed to enlist more than 20 youths to join the al-Shabaab fighters, in exchange for the protection of their lives, farms, and properties. The clan was given 2 weeks to complete.",0,,1749511122,
SOM50267,"04 June 2025",2025,1,"Strategic developments","Strategic developments",Agreement,"Jareer-Weyne Sub-Clan Militia (Somalia)",,4,24,,706,"Eastern Africa",Somalia,"Lower Juba",Jamaame,,Mashaaga,0.1952,42.752,1,"Local Network",Other,"On 4 June 2025, Al Shabaab and Jareer-Weyne sub-clan militia reached an agreement in Mashaaga village (Jamaame, Lower Juba). The clan agreed to enlist more than 20 youths to join the al-Shabaab fighters, in exchange for the protection of their lives, farms, and properties. The clan was given 2 weeks to complete.",0,,1749511122,
